,True,Predicted,RF,Total Duplication,Mapped Interval,Predictive Distribution
36,"(C_1:2.172474389778391,(A_1:2.1296912889872837,B_1:2.1296912889872837):0.04278310079110768):0.0;","(C_1,(A_1,B_1));",0,0,1111111.0,"{'(C_1,(A_1,B_1));': 1.0}"
37,"((A_2:1.6664537504425252,A_3:1.6664537504425252):1.359791563388065,(B_1:2.394838210205183,(A_1:2.1655092825559117,C_1:2.1655092825559117):0.22932892764927146):0.6314071036254072):0.0;","((A_2,A_3),(B_1,(A_1,C_1)));",0,0,119111111212.0,"{'((A_1,A_2),(B_1,(A_3,C_1)));': 0.0, '((A_1,A_3),(B_1,(A_2,C_1)));': 0.0, '((A_2,A_3),(B_1,(A_1,C_1)));': 1.0}"
38,"(A_1:3.281734634390303,(B_1:1.2708214566796152,((C_2:0.41448132302517743,C_3:0.41448132302517743):0.3545998476204565,C_1:0.769081170645634):0.5017402860339812):2.010913177710688):0.0;","(A_1,(B_1,((C_2,C_3),C_1)));",0,0,1111314717.0,"{'(A_1,(B_1,((C_1,C_2),C_3)));': 0.0, '(A_1,(B_1,((C_1,C_3),C_2)));': 0.0, '(A_1,(B_1,((C_2,C_3),C_1)));': 1.0}"
39,"((C_1:1.0375638089539385,B_1:1.0375638089539385):1.6145651156079937,A_1:2.652128924561932):0.0;","((C_1,B_1),A_1);",0,0,116114.0,"{'((C_1,B_1),A_1);': 1.0}"
40,"(A_1:3.6751603628786906,(B_2:2.292122357792037,(C_1:1.4168682891832445,B_1:1.4168682891832445):0.8752540686087924):1.3830380050866538):0.0;","(A_1,(B_2,(C_1,B_1)));",0,0,111181219.0,"{'(A_1,(B_1,(C_1,B_2)));': 0.0, '(A_1,(B_2,(C_1,B_1)));': 1.0}"
41,"(((A_1:2.1794993537173832,C_1:2.1794993537173832):0.75703375180396,(C_4:2.3848290712511693,B_1:2.3848290712511693):0.5517040342701742):0.02451029367400448,(C_3:2.3525322365014243,(C_2:1.4268971878486756,B_2:1.4268971878486756):0.9256350486527487):0.6085111626939239):0.0;","(((A_1,C_1),(C_4,B_1)),(C_3,(C_2,B_2)));",0,0,1.1111112121118122e+17,"{'(((A_1,C_1),(C_2,B_1)),(C_3,(C_4,B_2)));': 0.0, '(((A_1,C_1),(C_2,B_1)),(C_4,(C_3,B_2)));': 0.0, '(((A_1,C_1),(C_2,B_2)),(C_3,(C_4,B_1)));': 0.0, '(((A_1,C_1),(C_2,B_2)),(C_4,(C_3,B_1)));': 0.0, '(((A_1,C_1),(C_3,B_1)),(C_2,(C_4,B_2)));': 0.0, '(((A_1,C_1),(C_3,B_1)),(C_4,(C_2,B_2)));': 0.0, '(((A_1,C_1),(C_3,B_2)),(C_2,(C_4,B_1)));': 0.0, '(((A_1,C_1),(C_3,B_2)),(C_4,(C_2,B_1)));': 0.0, '(((A_1,C_1),(C_4,B_1)),(C_2,(C_3,B_2)));': 0.0, '(((A_1,C_1),(C_4,B_1)),(C_3,(C_2,B_2)));': 1.0, '(((A_1,C_1),(C_4,B_2)),(C_2,(C_3,B_1)));': 0.0, '(((A_1,C_1),(C_4,B_2)),(C_3,(C_2,B_1)));': 0.0, '(((A_1,C_2),(C_1,B_1)),(C_3,(C_4,B_2)));': 0.0, '(((A_1,C_2),(C_1,B_1)),(C_4,(C_3,B_2)));': 0.0, '(((A_1,C_2),(C_1,B_2)),(C_3,(C_4,B_1)));': 0.0, '(((A_1,C_2),(C_1,B_2)),(C_4,(C_3,B_1)));': 0.0, '(((A_1,C_2),(C_3,B_1)),(C_1,(C_4,B_2)));': 0.0, '(((A_1,C_2),(C_3,B_1)),(C_4,(C_1,B_2)));': 0.0, '(((A_1,C_2),(C_3,B_2)),(C_1,(C_4,B_1)));': 0.0, '(((A_1,C_2),(C_3,B_2)),(C_4,(C_1,B_1)));': 0.0, '(((A_1,C_2),(C_4,B_1)),(C_1,(C_3,B_2)));': 0.0, '(((A_1,C_2),(C_4,B_1)),(C_3,(C_1,B_2)));': 0.0, '(((A_1,C_2),(C_4,B_2)),(C_1,(C_3,B_1)));': 0.0, '(((A_1,C_2),(C_4,B_2)),(C_3,(C_1,B_1)));': 0.0, '(((A_1,C_3),(C_1,B_1)),(C_2,(C_4,B_2)));': 0.0, '(((A_1,C_3),(C_1,B_1)),(C_4,(C_2,B_2)));': 0.0, '(((A_1,C_3),(C_1,B_2)),(C_2,(C_4,B_1)));': 0.0, '(((A_1,C_3),(C_1,B_2)),(C_4,(C_2,B_1)));': 0.0, '(((A_1,C_3),(C_2,B_1)),(C_1,(C_4,B_2)));': 0.0, '(((A_1,C_3),(C_2,B_1)),(C_4,(C_1,B_2)));': 0.0, '(((A_1,C_3),(C_2,B_2)),(C_1,(C_4,B_1)));': 0.0, '(((A_1,C_3),(C_2,B_2)),(C_4,(C_1,B_1)));': 0.0, '(((A_1,C_3),(C_4,B_1)),(C_1,(C_2,B_2)));': 0.0, '(((A_1,C_3),(C_4,B_1)),(C_2,(C_1,B_2)));': 0.0, '(((A_1,C_3),(C_4,B_2)),(C_1,(C_2,B_1)));': 0.0, '(((A_1,C_3),(C_4,B_2)),(C_2,(C_1,B_1)));': 0.0, '(((A_1,C_4),(C_1,B_1)),(C_2,(C_3,B_2)));': 0.0, '(((A_1,C_4),(C_1,B_1)),(C_3,(C_2,B_2)));': 0.0, '(((A_1,C_4),(C_1,B_2)),(C_2,(C_3,B_1)));': 0.0, '(((A_1,C_4),(C_1,B_2)),(C_3,(C_2,B_1)));': 0.0, '(((A_1,C_4),(C_2,B_1)),(C_1,(C_3,B_2)));': 0.0, '(((A_1,C_4),(C_2,B_1)),(C_3,(C_1,B_2)));': 0.0, '(((A_1,C_4),(C_2,B_2)),(C_1,(C_3,B_1)));': 0.0, '(((A_1,C_4),(C_2,B_2)),(C_3,(C_1,B_1)));': 0.0, '(((A_1,C_4),(C_3,B_1)),(C_1,(C_2,B_2)));': 0.0, '(((A_1,C_4),(C_3,B_1)),(C_2,(C_1,B_2)));': 0.0, '(((A_1,C_4),(C_3,B_2)),(C_1,(C_2,B_1)));': 0.0, '(((A_1,C_4),(C_3,B_2)),(C_2,(C_1,B_1)));': 0.0}"
42,"((B_2:2.0634393378063383,C_2:2.0634393378063383):1.5140616120660884,(B_1:3.5432533097920507,(A_1:2.580933784076488,(B_3:1.9996888835889295,(B_4:1.6503935686730542,C_1:1.6503935686730542):0.3492953149158753):0.5812449004875586):0.9623195257155627):0.03424764008037595):0.0;","((B_2,C_2),(B_1,(A_1,(B_3,(B_4,C_1)))));",0,0,1.1111111191013182e+17,"{'((B_1,C_1),(B_2,(A_1,(B_3,(B_4,C_2)))));': 0.0, '((B_1,C_1),(B_2,(A_1,(B_4,(B_3,C_2)))));': 0.0, '((B_1,C_1),(B_3,(A_1,(B_2,(B_4,C_2)))));': 0.0, '((B_1,C_1),(B_3,(A_1,(B_4,(B_2,C_2)))));': 0.0, '((B_1,C_1),(B_4,(A_1,(B_2,(B_3,C_2)))));': 0.0, '((B_1,C_1),(B_4,(A_1,(B_3,(B_2,C_2)))));': 0.0, '((B_1,C_2),(B_2,(A_1,(B_3,(B_4,C_1)))));': 0.0, '((B_1,C_2),(B_2,(A_1,(B_4,(B_3,C_1)))));': 0.0, '((B_1,C_2),(B_3,(A_1,(B_2,(B_4,C_1)))));': 0.0, '((B_1,C_2),(B_3,(A_1,(B_4,(B_2,C_1)))));': 0.0, '((B_1,C_2),(B_4,(A_1,(B_2,(B_3,C_1)))));': 0.0, '((B_1,C_2),(B_4,(A_1,(B_3,(B_2,C_1)))));': 0.0, '((B_2,C_1),(B_1,(A_1,(B_3,(B_4,C_2)))));': 0.0, '((B_2,C_1),(B_1,(A_1,(B_4,(B_3,C_2)))));': 0.0, '((B_2,C_1),(B_3,(A_1,(B_1,(B_4,C_2)))));': 0.0, '((B_2,C_1),(B_3,(A_1,(B_4,(B_1,C_2)))));': 0.0, '((B_2,C_1),(B_4,(A_1,(B_1,(B_3,C_2)))));': 0.0, '((B_2,C_1),(B_4,(A_1,(B_3,(B_1,C_2)))));': 0.0, '((B_2,C_2),(B_1,(A_1,(B_3,(B_4,C_1)))));': 1.0, '((B_2,C_2),(B_1,(A_1,(B_4,(B_3,C_1)))));': 0.0, '((B_2,C_2),(B_3,(A_1,(B_1,(B_4,C_1)))));': 0.0, '((B_2,C_2),(B_3,(A_1,(B_4,(B_1,C_1)))));': 0.0, '((B_2,C_2),(B_4,(A_1,(B_1,(B_3,C_1)))));': 0.0, '((B_2,C_2),(B_4,(A_1,(B_3,(B_1,C_1)))));': 0.0, '((B_3,C_1),(B_1,(A_1,(B_2,(B_4,C_2)))));': 0.0, '((B_3,C_1),(B_1,(A_1,(B_4,(B_2,C_2)))));': 0.0, '((B_3,C_1),(B_2,(A_1,(B_1,(B_4,C_2)))));': 0.0, '((B_3,C_1),(B_2,(A_1,(B_4,(B_1,C_2)))));': 0.0, '((B_3,C_1),(B_4,(A_1,(B_1,(B_2,C_2)))));': 0.0, '((B_3,C_1),(B_4,(A_1,(B_2,(B_1,C_2)))));': 0.0, '((B_3,C_2),(B_1,(A_1,(B_2,(B_4,C_1)))));': 0.0, '((B_3,C_2),(B_1,(A_1,(B_4,(B_2,C_1)))));': 0.0, '((B_3,C_2),(B_2,(A_1,(B_1,(B_4,C_1)))));': 0.0, '((B_3,C_2),(B_2,(A_1,(B_4,(B_1,C_1)))));': 0.0, '((B_3,C_2),(B_4,(A_1,(B_1,(B_2,C_1)))));': 0.0, '((B_3,C_2),(B_4,(A_1,(B_2,(B_1,C_1)))));': 0.0, '((B_4,C_1),(B_1,(A_1,(B_2,(B_3,C_2)))));': 0.0, '((B_4,C_1),(B_1,(A_1,(B_3,(B_2,C_2)))));': 0.0, '((B_4,C_1),(B_2,(A_1,(B_1,(B_3,C_2)))));': 0.0, '((B_4,C_1),(B_2,(A_1,(B_3,(B_1,C_2)))));': 0.0, '((B_4,C_1),(B_3,(A_1,(B_1,(B_2,C_2)))));': 0.0, '((B_4,C_1),(B_3,(A_1,(B_2,(B_1,C_2)))));': 0.0, '((B_4,C_2),(B_1,(A_1,(B_2,(B_3,C_1)))));': 0.0, '((B_4,C_2),(B_1,(A_1,(B_3,(B_2,C_1)))));': 0.0, '((B_4,C_2),(B_2,(A_1,(B_1,(B_3,C_1)))));': 0.0, '((B_4,C_2),(B_2,(A_1,(B_3,(B_1,C_1)))));': 0.0, '((B_4,C_2),(B_3,(A_1,(B_1,(B_2,C_1)))));': 0.0, '((B_4,C_2),(B_3,(A_1,(B_2,(B_1,C_1)))));': 0.0}"
43,"(C_2:3.1639021596281682,(A_1:2.1304957235266433,(C_1:1.1878973707021663,B_1:1.1878973707021663):0.9425983528244771):1.033406436101525):0.0;","(C_2,(A_1,(C_1,B_1)));",0,0,111161116.0,"{'(C_1,(A_1,(C_2,B_1)));': 0.0, '(C_2,(A_1,(C_1,B_1)));': 1.0}"
44,"((B_1:1.1873176502816873,(C_1:1.1419212155102094,(B_3:0.7523391924551768,B_2:0.7523391924551768):0.38958202305503264):0.04539643477147792):1.7590853508754134,A_1:2.9464030011571003):0.0;","((B_1,(C_1,(B_2,B_3))),A_1);",0,0,1111466115.0,"{'((B_1,(C_1,(B_2,B_3))),A_1);': 1.0, '((B_2,(C_1,(B_1,B_3))),A_1);': 0.0, '((B_3,(C_1,(B_1,B_2))),A_1);': 0.0}"
45,"((B_1:1.0357092254610436,C_1:1.0357092254610436):2.5168681335949596,A_1:3.552577359056003):0.0;","((B_1,C_1),A_1);",0,0,116118.0,"{'((B_1,C_1),A_1);': 1.0}"
