replicate,duplications,observed_duplications,losses,CNH,RKH,ILS,ILS_DLCPAR
563,3,3,0,0,1,2,2
564,2,2,0,0,0,1,1
565,5,5,0,0,0,1,1
566,11,11,0,0,2,4,3
567,5,5,0,1,1,2,2
568,2,2,0,0,0,0,0
569,10,10,0,0,1,7,6
570,0,0,0,0,0,0,0
571,7,7,0,0,4,9,6
572,2,2,0,0,0,1,1
573,0,0,0,0,0,0,0
574,9,9,0,0,2,6,5
575,4,4,0,0,2,4,4
576,3,3,0,0,0,2,1
577,20,19,0,0,5,16,12
578,31,16,0,0,9,22,17
579,41,39,0,0,9,21,19
580,5,5,0,0,1,4,2
581,6,6,0,0,0,5,4
582,0,0,0,0,0,0,0
583,10,10,0,0,0,4,2
584,2,2,0,0,0,1,1
585,15,15,0,1,1,13,12
586,4,4,0,0,0,3,2
587,2,2,0,0,2,3,2
588,5,5,0,0,0,3,3
589,4,4,0,0,1,2,1
590,3,3,0,0,2,2,1
591,1,1,0,0,0,1,1
592,4,4,0,0,2,2,2
593,2,2,0,0,0,4,2
594,1,1,0,0,0,0,0
595,1,1,0,0,1,1,1
596,2,2,0,0,1,2,1
597,0,0,0,0,0,0,0
598,4,4,0,0,2,3,3
599,3,3,0,0,1,2,2
600,0,0,0,0,0,0,0
601,4,4,0,0,1,2,2
602,3,3,0,1,1,3,3
603,0,0,0,0,0,0,0
604,20,19,0,0,5,12,11
605,10,10,0,0,4,5,4
606,4,4,0,0,1,2,2
607,1,1,0,0,0,1,1
608,13,13,0,0,3,9,6
609,0,0,0,0,0,0,0
610,3,3,0,0,1,3,2
611,3,3,0,0,1,3,3
612,38,37,0,0,15,30,26
613,5,5,0,0,2,6,5
614,5,5,0,0,0,3,3
615,5,5,0,0,1,5,3
616,2,2,0,0,1,2,2
617,12,12,0,0,3,8,7
618,3,3,0,0,0,1,1
619,0,0,0,0,0,1,1
620,4,4,0,0,0,2,1
621,3,3,0,0,2,3,3
622,6,6,0,0,1,2,2
623,1,1,0,0,0,1,1
